   Vx       Vy       Vz      |V|    
-395.64    3.36     3.61    395.67 
-396.41   -4.43     0.77    396.44 
-396.41   -4.43     0.77    396.44 
-396.41   -4.43     0.77    396.44 
-396.41   -4.43     0.77    396.44 
-399.19   -2.38    10.69    399.34 
-398.58   -3.05     8.98    398.69 
-397.97   -3.73     7.26    398.05 
-397.36   -4.41     5.54    397.42 
-396.75   -5.09     3.83    396.80 
-396.75   -5.09     3.83    396.80 
-396.75   -5.09     3.83    396.80 
-396.75   -5.09     3.83    396.80 
-400.58   -4.53    10.08    400.73 
-400.30   -6.22     9.28    400.46 
-400.01   -7.91     8.48    400.18 
-399.73   -9.60     7.69    399.92 
-396.42   -11.02    2.10    396.58 
-395.67   -10.95    0.91    395.82 
-394.91   -10.89   -0.29    395.06 
-394.16   -10.82   -1.49    394.31 
-393.40   -10.75   -2.69    393.56 
-393.40   -10.75   -2.69    393.56 
-393.40   -10.75   -2.69    393.56 
-393.40   -10.75   -2.69    393.56 
-393.40   -10.75   -2.69    393.56 
-393.40   -10.75   -2.69    393.56 
-393.40   -10.75   -2.69    393.56 
-393.40   -10.75   -2.69    393.56 
-396.44   -6.43     1.47    396.49 
-396.41   -7.17     1.72    396.48 
-396.38   -7.92     1.97    396.46 
-396.34   -8.66     2.21    396.44 
-396.31   -9.41     2.46    396.43 
-395.27   -6.98    -1.87    395.34 
-394.23   -4.55    -6.20    394.31 
-393.19   -2.12    -10.52   393.34 
-392.15    0.31    -14.85   392.43 
-392.15    0.31    -14.85   392.43 
-392.15    0.31    -14.85   392.43 
-392.15    0.31    -14.85   392.43 
-392.06   -7.89    -16.52   392.49 
-392.06   -7.89    -16.52   392.49 
-392.06   -7.89    -16.52   392.49 
-392.06   -7.89    -16.52   392.49 
-393.97   -4.96    -9.29    394.11 
-393.97   -4.96    -9.29    394.11 
-393.97   -4.96    -9.29    394.11 
-393.97   -4.96    -9.29    394.11 
-395.37   -17.43   -13.61   395.99 
-395.03   -17.29   -12.61   395.61 
-394.69   -17.14   -11.62   395.23 
-394.35   -16.99   -10.63   394.86 
-394.01   -16.84   -9.63    394.49 
-394.01   -16.84   -9.63    394.49 
-394.01   -16.84   -9.63    394.49 
-394.01   -16.84   -9.63    394.49 
-399.17   -19.25   15.82    399.95 
-398.48   -12.00    8.08    398.74 
-397.79   -4.75     0.35    397.82 
-397.10    2.50    -7.38    397.18 
-396.41    9.76    -15.12   396.82 
-396.41    9.76    -15.12   396.82 
-396.41    9.76    -15.12   396.82 
-396.41    9.76    -15.12   396.82 
-398.05    0.54    -2.20    398.06 
-397.45    2.29    -1.16    397.46 
-396.85    4.03    -0.12    396.87 
-396.24    5.78     0.92    396.28 
-395.64    7.53     1.96    395.72 
-395.42    8.56    -2.33    395.52 
-395.20    9.59    -6.63    395.37 
-394.97   10.62    -10.92   395.26 
-394.75   11.65    -15.22   395.22 
-394.75   11.65    -15.22   395.22 
-394.75   11.65    -15.22   395.22 
-394.75   11.65    -15.22   395.22 
-396.04    9.85    -6.41    396.21 
-396.04    9.85    -6.41    396.21 
-396.04    9.85    -6.41    396.21 
-396.04    9.85    -6.41    396.21 
-400.43    2.61     0.29    400.44 
-399.88    2.77     3.37    399.90 
-399.33    2.92     6.46    399.39 
-398.78    3.08     9.54    398.91 
-398.23    3.24    12.62    398.44 
-396.69    2.53    14.51    396.96 
-395.15    1.83    16.39    395.49 
-393.61    1.12    18.27    394.04 
-392.07    0.42    20.16    392.59 
-392.07    0.42    20.16    392.59 
-392.07    0.42    20.16    392.59 
-392.07    0.42    20.16    392.59 
-400.62    4.20     8.78    400.74 
-400.08    3.38     7.45    400.16 
-399.54    2.57     6.11    399.59 
-399.01    1.75     4.77    399.04 
-398.47    0.93     3.43    398.49 
-398.47    0.93     3.43    398.49 
-398.47    0.93     3.43    398.49 
-398.47    0.93     3.43    398.49 
-403.87    6.32    -5.39    403.96 
-403.87    6.32    -5.39    403.96 
-403.87    6.32    -5.39    403.96 
-403.87    6.32    -5.39    403.96 
-406.42    0.15    -9.18    406.52 
-405.21    0.83    -7.60    405.28 
-404.00    1.50    -6.02    404.05 
-402.78    2.18    -4.44    402.81 
-401.57    2.86    -2.86    401.59 
-401.19    2.83    -2.70    401.21 
-400.80    2.80    -2.54    400.82 
-400.42    2.77    -2.39    400.44 
-400.04    2.74    -2.23    400.06 
-400.04    2.74    -2.23    400.06 
-400.04    2.74    -2.23    400.06 
-400.04    2.74    -2.23    400.06 
-402.74    1.37     0.22    402.74 
-402.62    1.63     2.06    402.63 
-402.49    1.88     3.91    402.51 
-402.37    2.14     5.76    402.42 
-402.25    2.40     7.61    402.33 
-400.88    3.81     5.86    400.94 
-399.51    5.22     4.10    399.57 
-398.14    6.63     2.34    398.20 
-396.77    8.05     0.58    396.85 
-396.77    8.05     0.58    396.85 
-396.77    8.05     0.58    396.85 
-396.77    8.05     0.58    396.85 
-396.72    2.21    14.10    396.98 
-396.72    2.21    14.10    396.98 
-396.72    2.21    14.10    396.98 
-396.72    2.21    14.10    396.98 
-401.21    4.37    15.69    401.54 
-401.21    4.37    15.69    401.54 
-401.21    4.37    15.69    401.54 
-401.21    4.37    15.69    401.54 
-401.36   -8.95    16.25    401.79 
-401.36   -8.95    16.25    401.79 
-401.36   -8.95    16.25    401.79 
-401.36   -8.95    16.25    401.79 
-403.25   -4.28    23.85    403.98 
-402.98   -3.10    24.80    403.75 
-402.71   -1.93    25.75    403.54 
-402.44   -0.76    26.71    403.33 
-402.17    0.41    27.66    403.12 
-402.17    0.41    27.66    403.12 
-402.17    0.41    27.66    403.12 
-402.17    0.41    27.66    403.12 
-402.17    0.41    27.66    403.12 
-402.17    0.41    27.66    403.12 
-402.17    0.41    27.66    403.12 
-402.17    0.41    27.66    403.12 
-411.58   -7.22    28.91    412.66 
-411.61   -6.29    27.54    412.58 
-411.64   -5.35    26.18    412.51 
-411.67   -4.42    24.81    412.44 
-411.70   -3.48    23.44    412.38 
-411.11   -4.70    23.52    411.81 
-410.52   -5.92    23.59    411.24 
-409.94   -7.14    23.66    410.68 
-409.35   -8.36    23.73    410.12 
-408.02   -8.00    22.14    408.70 
-406.69   -7.63    20.55    407.28 
-405.36   -7.27    18.96    405.87 
-404.03   -6.91    17.37    404.46 
-402.88   -5.24    19.21    403.37 
-401.74   -3.57    21.04    402.31 
-400.59   -1.90    22.88    401.25 
-399.45   -0.23    24.72    400.21 
-399.45   -0.23    24.72    400.21 
-399.45   -0.23    24.72    400.21 
-399.45   -0.23    24.72    400.21 
-403.27   -7.28    26.83    404.23 
-403.27   -7.28    26.83    404.23 
-403.27   -7.28    26.83    404.23 
-403.27   -7.28    26.83    404.23 
-402.47    0.20    37.88    404.25 
-402.00   -0.81    33.70    403.41 
-401.53   -1.82    29.53    402.62 
-401.06   -2.83    25.36    401.87 
-400.59   -3.85    21.19    401.17 
-400.42   -5.56    21.90    401.06 
-400.25   -7.28    22.61    400.95 
-400.08   -9.00    23.32    400.86 
-399.91   -10.72   24.04    400.78 
-399.73   -10.21   24.49    400.61 
-399.55   -9.70    24.94    400.45 
-399.36   -9.20    25.39    400.27 
-399.18   -8.69    25.83    400.11 
-399.18   -8.69    25.83    400.11 
